category|word|jword|jwordread|page|jpage|
0|Resistance to Pathogens/Tosins (Quality)|病原体や毒素に対する抵抗力 (資質) [ 病原 体 や 毒素 に対する 抵抗力 資質]|びょうげんたいやどくそにたいするていこうりょく|4: p.80|4: p.86 / 4A: p.113|
0|Blandness (Quality)|平凡 (資質) [ 平凡 資質]|へいぼん|4: p.78|4: p.86 / 4A: p.113|
0|Home Ground (Quality)|ホームグラウンド (資質) [ ホーム グラウンド 資質]|ほーむぐらうんど|4: p.78|4: p.86 / 4A: p.113|
0|Magician (Quality)|魔法使い (資質) [ 魔法 使い 資質]|まほうつかい|4: p.79|4: p.87 / 4A: p.113|
0|Magic Resistance (Quality)|魔法抵抗 (資質) [ 魔法 抵抗 資質]|まほうていこう|4: p.79|4: p.87 / 4A: p.113|
0|Mystic Adept (Quality)|ミスティック・アデプト (資質) [ ミスティック アデプト 資質]|みすてぃっくあでぷと|4: p.79|4: p.87 / 4A: p.113|
0|Ambidextrous (Quality)|両手利き (資質) [ 両手 利き 資質]|りょうてぎき|4: p.77|4: p.87 / 4A: p.114|
0|Astral Beacon (Quality)|アストラル・ビーコン (資質) [ アストラル ビーコン 資質]|あすとらるびーこん|4: p.81|4: p.87 / 4A: p.114|
0|Allergy (Quality)|アレルギー (資質) [ アレルギー 資質]|あれるぎー|4: p.80|4: p.87 / 4A: p.114|
0|Addiction (Quality)|依存症 (資質) [ 依存 症 資質]|いぞんしょう|4: p.80|4: p.87 / 4A: p.114|
0|Elf Poser (Quality)|エルフ気取り (資質) [ エルフ 気取り 資質]|えるふきどり|4: p.81|4: p.88 / 4A: p.115|
0|Ork Poser (Quality)|オーク気取り (資質) [ オーク 気取り 資質]|おーくきどり|4: p.83|4: p.88 / 4A: p.115|
0|Sensitive Neural Structure (Quality)|過敏な神経構造 (資質) [ 過敏 な 神経 構造 資質]|かびんなしんけいこうぞう|4: p.83|4: p.88 / 4A: p.115|
0|Infirm (Quality)|虚弱 (資質) [ 虚弱 資質]|きょじゃく|4: p.82|4: p.88 / 4A: p.115|
6|Allergy Table|アレルギー表 [ アレルギー 表]|あれるぎーひょう|4: p.81|4: p.88 / 4A: p.116|
0|Low Pain Tolerance (Quality)|苦痛に弱い (資質) [ 苦痛 に 弱い 資質]|くつうによわい|4: p.82|4: p.89 / 4A: p.116|
0|Gremlins (Quality)|グレムリン (資質) [ グレムリン 資質]|ぐれむりん|4: p.81|4: p.89 / 4A: p.116|
0|Codeblock (Quality)|コードブロック (資質) [ コード ブロック 資質]|こーどぶろっく|4: p.81|4: p.89 / 4A: p.116|
0|Scorched (Quality)|焦げつき (資質) [ 焦げつき 資質 ]|こげつき|4: p.83|4: p.90 / 4A: p.116|
0|Simsense Vertigo (Quality)|シムセンス酔い (資質) [ シム センス 酔い 資質]|しむせんすよい|4: p.83|4: p.90 / 4A: p.116|
0|Uncouth (Quality)|社会不適応 (資質) [ 社会 不 適応 資質]|しゃかいふてきおう|4: p.83|4: p.90 / 4A: p.116|
0|SINer (Quality)|SIN持ち (資質) [ SIN 持ち 資質]|SINもち|4: p.83|4: p.90 / 4A: p.117|
0|Sprit Bane (Quality)|精霊との反発性 (資質) [ 精霊 との 反発性 資質]|せいれいとのはんぱつせい|4: p.83|4: p.90 / 4A: p.117|
0|Combat Paralysis (Quality)|戦闘硬直 (資質) [ 戦闘 硬直 資質]|せんとうこうちょく|4: p.81|4: p.90 / 4A: p.117|
0|Incompetent (Quality)|苦手 (資質) [ 苦手 資質]|にがて|4: p.82|4: p.90 / 4A: p.117|
0|Bad Luck (Quality)|不運 (資質) [ 不運 資質]|ふうん|4: p.81|4: p.90 / 4A: p.117|
0||平和主義 (資質) [ 平和 主義 資質]|へいわしゅぎ||4A: p.117|
0|Uneducated (Quality)|無教育 (資質) [ 無 教育 資質]|むきょういく|4: p.83|4: p.91 / 4A: p.118|
0|Sensitive System (Quality)|免疫過敏 (資質) [ 免疫 過敏 資質]|めんえきかびん|4: p.83|4: p.91 / 4A: p.118|
0|Weak Immune System (Quality)|弱い免疫系 (資質) [ 弱い 免疫系 資質]|よわいめんえきけい|4: p.84|4: p.91 / 4A: p.118|
6|Build Point Cost Summary Table|消費BP早見表 [ 消費 BP 早見 表]|しょうひBPはやみひょう|4: p.88|4: p.96|
6||キャラクター作成手順まとめ [ キャラクター 作成 手順 まとめ]|きゃらくたーさくせいてじゅんまとめ||4A: p.119|
0|Bounty Hunter|バウンティ・ハンター [ バウンティ ハンター]|ばうんてぃはんたー|4: p.89|4: p.97 / 4A: p.120|
0|Combat Mage|コンバット・メイジ [ コンバット メイジ]|こんばっとめいじ|4: p.90|4: p.98 / 4A: p.121|
0|Covert Ops Specialist|コバート・オペ・スペシャリスト [ コバート オペ スペシャリスト]|こばーとおぺすぺしゃりすと|4: p.91|4: p.99 / 4A: p.122|
0|Drone Rigger|ドローン・リガー [ ドローン リガー]|どろーんりがー|4: p.92|4: p.100 / 4A: p.123|
0|Enforcer|エンフォーサー [ エンフォーサー]|えんふぉーさー|4: p.93|4: p.101 / 4A: p.124|
0|Face|フェイス [ フェイス]|ふぇいす|4: p.94|4: p.102 / 4A: p.125|
0|Gunslinger Adept|ガンスリンガー・アデプト [ ガン スリンガー アデプト]|がんすりんがーあでぷと|4: p.95|4: p.103 / 4A: p.126|
0|Hacker|ハッカー [ ハッカー]|はっかー|4: p.96|4: p.104 / 4A: p.127|
0|Occult Investigator|オカルト探偵 [ オカルト 探偵]|おかるとたんてい|4: p.97|4: p.105 / 4A: p.128|
0|Radical Eco-Shaman|ラディカル・エコシャーマン [ ラディカル エコ シャーマン]|らでぃかるえこしゃーまん|4: p.98|4: p.106 / 4A: p.129|
0|Smuggler|スマグラー [ スマグラー]|すまぐらー|4: p.99|4: p.107 / 4A: p.130|
0|Sorawl Ganger|スプロール・ギャンガー [ スプロール ギャンガー]|すぷろーるぎゃんがー|4: p.100|4: p.108 / 4A: p.131|
0|Street Samurai|ストリート・サムライ [ ストリート サムライ]|すとりーとさむらい|4: p.101|4: p.109 / 4A: p.132|
0|Street Shaman|ストリート・シャーマン [ ストリート シャーマン]|すとりーとしゃーまん|4: p.102|4: p.110 / 4A: p.133|
0|Technomancer|テクノマンサー [ テクノマンサー]|てくのまんさー|4: p.103|4: p.111 / 4A: p.134|
0|Weapons Specialist|ウェポン・スペシャリスト [ ウェポン スペシャリスト]|うぇぽんすぺしゃりすと|4: p.104|4: p.112 / 4A: p.135|
6|Skill Groups|技能グループ [ 技能 グループ]|ぎのうぐるーぷ|4: p.106|4: p.118 / 4A: p.142|
6|Skills and Linked Attributes|技能と関連能力値表 [ 技能 と 関連 能力値 表]|ぎのうとかんれんのうりょくちひょう|4: p.111|4: p.119 / 4A: p.142|
0|Specializations|専門化 [ 専門 化]|せんもんか|4: p.110|4: p.117 / 4A: p.143|
0|Defaulting|デフォルティング [ デフォルティング]|でふぉるてぃんぐ|4: p.110|4: p.118 / 4A: p.144|
0|Dodge (Skill)|回避 (技能) [ 回避 技能]|かいひ|4: p.112|4: p.118 / 4A: p.144|
0|Archery (Skill)|弓術 (技能) [ 弓術 技能]|きゅうじゅつ|4: p.110|4: p.119 / 4A: p.144|
0|Clubs (Skill)|棍棒 (技能) [ 棍棒 技能]|こんぼう|4: p.111|4: p.119 / 4A: p.144|
0|Automatics (Skill)|自動 火器 (技能) [ 自動 火器 技能]|じどうかき|4: p.111|4: p.119 / 4A: p.144|
0|Heavy Weapons (Skill)|重火器 (技能) [ 重 火器 技能]|じゅうかき|4: p.112|4: p.119 / 4A: p.144|
0|Unarmed Combat (Skill)|素手 戦闘 (技能) [ 素手 戦闘 技能]|すでせんとう|4: p.113|4: p.119 / 4A: p.144|
0|Longarms (Skill)|長銃 (技能) [ 長 銃 技能]|ちょうじゅう|4: p.112|4: p.119 / 4A: p.144|
0|Blades (Skill)|刀剣 (技能) [ 刀 剣 技能]|とうけん|4: p.111|4: p.120 / 4A: p.144|
0|Throwing Weapons (Skill)|投擲 武器 (技能) [ 投擲 武器 技能]|とうてきぶき|4: p.113|4: p.120 / 4A: p.145|
0|Exotic Melee Weapon (Skill)|特殊 近接 武器 (技能) [ 特殊 近接 武器 技能]|とくしゅきんせつぶき|4: p.112|4: p.120 / 4A: p.145|
0|Exotic Ranged Weapon (Skill)|特殊 射撃 武器 (技能) [ 特殊 射撃 武器 技能]|とくしゅしゃげきぶき|4: p.112|4: p.120 / 4A: p.145|
0|Pistols (Skill)|ピストル (技能) [ ピストル 技能]|ぴすとる|4: p.112|4: p.120 / 4A: p.145|
0|Astral Combat (Skill)|アストラル 戦闘 (技能) [ アストラル 戦闘 技能]|あすとらるせんとう|4: p.113|4: p.120 / 4A: p.145|
0||アルカナ (技能) [ アルカナ 技能]|あるかな||4A: p.146|
0|Ritual Spellcasting (Skill)|儀式 呪文 行使 (技能) [ 儀式 呪文 行使 技能]|ぎしきじゅもんこうし|4: p.113|4: p.121 / 4A: p.146|
0||呪付 (技能) [ 呪付 技能]|じゅふ||4A: p.146|
0|Spellcasting (Skill)|呪文 行使 (技能) [ 呪文 行使 技能]|じゅもんこうし|4: p.113|4: p.121 / 4A: p.146|
0|Counterspelling (Skill)|呪文 対抗 (技能) [ 呪文 対抗 技能]|じゅもんたいこう|4: p.113|4: p.121 / 4A: p.146|
0|Summoning (Skill)|召喚 (技能) [ 召喚 技能]|しょうかん|4: p.113|4: p.121 / 4A: p.146|
0|Binding (Skill)|束縛 (技能) [ 束縛 技能]|そくばく|4: p.113|4: p.121 / 4A: p.146|
0|Banishing (Skill)|放逐 (技能) [ 放逐 技能]|ほうちく|4: p.113|4: p.121 / 4A: p.146|
0|Assensing (Skill)|霊視 (技能) [ 霊視 技能]|れいし|4: p.113|4: p.121 / 4A: p.146|
0|Navigation (Skill)|航法 (技能) [ 航法 技能]|こうほう|4: p.114|4: p.121 / 4A: p.146|
0|Survival (Skill)|サバイバル (技能) [ サバイバル 技能]|さばいばる|4: p.114|4: p.121 / 4A: p.147|
0|Swimming (Skill)|水泳 (技能) [ 水泳 技能]|すいえい|4: p.114|4: p.121 / 4A: p.147|
0|Diving (Skill)|潜水 (技能) [ 潜水 技能]|せんすい|4: p.114|4: p.121 / 4A: p.147|
0|Infiltration (Skill)|潜入 (技能) [ 潜入 技能]|せんにゅう|4: p.114|4: p.121 / 4A: p.147|
0|Gymnastics (Skill)|体術 (技能) [ 体術 技能]|たいじゅつ|4: p.114|4: p.122 / 4A: p.147|
0|Escape Artist (Skill)|脱出 (技能) [ 脱出 技能]|だっしゅつ|4: p.114|4: p.122 / 4A: p.147|
0|Perception (Skill)|知覚 (技能) [ 知覚 技能]|ちかく|4: p.114|4: p.122 / 4A: p.147|
0|Climbing (Skill)|登攀 (技能) [ 登攀 技能]|とうはん|4: p.113|4: p.122 / 4A: p.147|
0|Tracking (Skill)|トラッキング (技能) [ トラッキング 技能]|とらっきんぐ|4: p.115|4: p.122 / 4A: p.147|
0|Palming (Skill)|パーミング (技能) [ パーミング 技能]|ぱーみんぐ|4: p.114|4: p.122 / 4A: p.147|
0|Parachuting (Skill)|パラシュート (技能) [ パラシュート 技能]|ぱらしゅーと|4: p.114|4: p.122 / 4A: p.147|
0|Shadowing (Skill)|尾行 (技能) [ 尾行 技能]|びこう|4: p.114|4: p.122 / 4A: p.147|
0|Disguise (Skill)|変装 (技能) [ 変装 技能]|へんそう|4: p.114|4: p.122 / 4A: p.148|
0|Running (Skill)|ランニング (技能) [ ランニング 技能]|らんにんぐ|4: p.114|4: p.122 / 4A: p.148|
0|Compiling (Skill)|コンパイル (技能) [ コンパイル 技能]|こんぱいる|4: p.119|4: p.127 / 4A: p.148|
0|Decompiling (Skill)|デコンパイル (技能) [ デコンパイル 技能]|でこんぱいる|4: p.119|4: p.127 / 4A: p.148|
0|Registering (Skill)|レジスター (技能) [ レジスター 技能]|れじすたー|4: p.119|4: p.127 / 4A: p.148|
0|Etiquette (Skill)|エチケット (技能) [ エチケット 技能]|えちけっと|4: p.120|4: p.127 / 4A: p.148|
0|Intimidation (Skill)|脅迫 (技能) [ 脅迫 技能]|きょうはく|4: p.120|4: p.127 / 4A: p.148|
0|Con (Skill)|虚言 (技能) [ 虚言 技能]|きょげん|4: p.120|4: p.128 / 4A: p.149|
0|Negotiation (Skill)|交渉 (技能) [ 交渉 技能]|こうしょう|4: p.120|4: p.128 / 4A: p.149|
0|Instruction (Skill)|指導 (技能) [ 指導 技能]|しどう|4: p.120|4: p.128 / 4A: p.149|
0|Leadership (Skill)|統率 (技能) [ 統率 技能]|とうそつ|4: p.120|4: p.128 / 4A: p.149|
0||化学 (技能) [ 化学 技能]|かがく||4A: p.149|
0|Medicine (Skill)|医術 (技能) [ 医術 技能]|いじゅつ|4: p.124|4: p.131 / 4A: p.149|
0|First Aid (Skill)|応急処置 (技能) [ 応急 処置 技能]|おうきゅうしょち|4: p.124|4: p.131 / 4A: p.149|
0|Forgery (Skill)|偽造 (技能) [ 偽造 技能]|ぎぞう|4: p.124|4: p.131 / 4A: p.149|
0|Industrial Mechanic (Skill)|工業機器整備 (技能) [ 工業 機器 整備 技能]|こうぎょうききせいび|4: p.124|4: p.131 / 4A: p.149|
0|Aeronautics Mechanic (Skill)|航空機整備 (技能) [ 航空機 整備 技能]|こうくうきせいび|4: p.123|4: p.131 / 4A: p.149|
0|Artisan (Skill)|工芸 (技能) [ 工芸 技能]|こうげい|4: p.123|4: p.131 / 4A: p.149|
0|Computer (Skill)|コンピュータ (技能) [ コンピュータ 技能]|こんぴゅーた|4: p.123|4: p.131 / 4A: p.150|
0|Cybertechnology (Skill)|サイバー技術 (技能) [ サイバー 技術 技能]|さいばーぎじゅつ|4: p.123|4: p.131 / 4A: p.150|
0|Cybercombat (Skill)|サイバー戦闘 (技能) [ サイバー 戦闘 技能]|さいばーせんとう|4: p.123|4: p.131 / 4A: p.150|
0|Automotive Mechanic (Skill)|自動車整備 (技能) [ 自動車 整備 技能]|じどうしゃせいび|4: p.123|4: p.131 / 4A: p.150|
0|Locksmith (Skill)|錠前 (技能) [ 錠前 技能]|じょうまえ|4: p.124|4: p.131 / 4A: p.150|
0|Nautical Mechanic (Skill)|船舶整備 (技能) [ 船舶 整備 技能]|せんぱくせいび|4: p.124|4: p.132 / 4A: p.150|
0|Software (Skill)|ソフトウェア (技能) [ ソフト ウェア 技能]|そふとうぇあ|4: p.124|4: p.132 / 4A: p.150|
0|Data Search (Skill)|データ検索 (技能) [ データ 検索 技能]|でーたけんさく|4: p.123|4: p.132 / 4A: p.151|
0|Electronic Warfare (Skill)|電子戦 (技能) [ 電子 戦 技能]|でんしせん|4: p.124|4: p.132 / 4A: p.151|
0|Hardware (Skill)|ハードウェア (技能) [ ハード ウェア 技能]|はーどうぇあ|4: p.124|4: p.132 / 4A: p.151|
0|Demolitions (Skill)|爆破 (技能) [ 爆破 技能]|ばくは|4: p.123|4: p.132 / 4A: p.151|
0|Hacking (Skill)|ハッキング (技能) [ ハッキング 技能]|はっきんぐ|4: p.124|4: p.132 / 4A: p.151|
0|Armorer (Skill)|武器整備 (技能) [ 武器 整備 技能]|ぶきせいび|4: p.123|4: p.132 / 4A: p.151|
0|Pilot Aerospace (Skill)|宇宙船操縦 (技能) [ 宇宙船 操縦 技能]|うちゅうせんそうじゅう|4: p.126|4: p.133 / 4A: p.151|
0|Pilot Aircraft (Skill)|航空機操縦 (技能) [ 航空機 操縦 技能]|こうくうきそうじゅう|4: p.126|4: p.134 / 4A: p.151|
0|Pilot Watercraft (Skill)|船舶操縦 (技能) [ 船舶 操縦 技能]|せんぱくそうじゅう|4: p.126|4: p.134 / 4A: p.151|
0|Pilot Ground Craft (Skill)|地上機操縦 (技能) [ 地上機 操縦 技能]|ちじょうきそうじゅう|4: p.126|4: p.134 / 4A: p.151|
0|Pilot Exotic Vehicle (Skill)|特殊ヴィークル操縦 (技能) [ 特殊 ヴィークル 操縦 技能]|とくしゅゔぃーくるそうじゅう|4: p.126|4: p.134 / 4A: p.152|
0|Gunnery (Skill)|砲術 (技能) [ 砲術 技能]|ほうじゅつ|4: p.125|4: p.134 / 4A: p.152|
0|Pilot Anthroform (Skill)|歩行機 操縦 (技能) [ 歩行機 操縦 技能]|ほこうきそうじゅう|4: p.126|4: p.134 / 4A: p.151|
0|Choosing Knowledge Skills|知識技能の選択 [ 知識 技能 の 選択]|ちしきぎのうのせんたく|4: p.127|4: p.135 / 4A: p.152|
0|Knowledge Skill Specializations|知識技能の専門化 [ 知識 技能 の 専門化]|ちしきぎのうのせんもんか|4: p.127|4: p.136 / 4A: p.152|
0|Street Knowledge|ストリート知識技能 [ ストリート 知識 技能]|すとりーとちしきぎのう|4: p.127|4: p.136 / 4A: p.152|
0|Academic Knowledge|学術知識技能 [ 学術 知識 技能]|がくじゅつちしきぎのう|4: p.128|4: p.136 / 4A: p.153|
0|Professional Knowledge|職業知識技能 [ 職業 知識 技能]|しょくぎょうちしきぎのう|4: p.128|4: p.136 / 4A: p.153|
0|Interests|趣味知識技能 [ 趣味 知識 技能]|しゅみちしきぎのう|4: p.128|4: p.136 / 4A: p.153|
0|Language (Skill)|言語 (技能) [ 言語 技能]|げんご|4: p.129|4: p.137 / 4A: p.154|
0|Lingos|リンゴー [ リンゴー]|りんごー|4: p.129|4: p.137 / 4A: p.154|
0|Charisma-Linked Skills and Language|【魅力】関連技能と言語の関係 [ 魅力 関連 技能 と 言語 の 関係]|みりょくかんれんぎのうとげんごのかんけい|4: p.130|4: p.137 / 4A: p.154|
0|Using Etiquette|〈エチケット〉の使い方 [ エチケット の 使い方]|えちけっとのつかいかた|4: p.121|4: p.130 / 4A: p.154|
0|Using Stealth Skills|隠密系技能の使い方 [ 隠密 系 技能 の 使い方]|おんみつけいぎのうのつかいかた|4: p.118|4: p.125 / 4A: p.155|
0||〈化学〉の使い方 [ 化学 の 使い方]|かがくのつかいかた||4A: p.155|
6||ホーム・クッキング表 [ ホーム クッキング 表]|ほーむくっきんぐひょう||4A: p.156|
6||化学工具表 [ 化学 工具 表]|かがくこうぐひょう||4A: p.156|
0|Using Technical Skills to Build or Repair|技術系技能を使った製作と修理 [ 技術 系 技能 を使った 製作 と 修理]|ぎじゅつけいぎのうをつかったせいさくとしゅうり|4: p.125|4: p.133 / 4A: p.156|
0|Using Forgery|〈偽造〉の使い方 [ 偽造 の 使い方]|ぎぞうのつかいかた|4: p.124|4: p.132 / 4A: p.156|
0|Build/Repair Table|製作／修理表 [ 製作 修理 表]|せいさくしゅうりひょう|4: p.125|4: p.133 / 4A: p.156|
0|Using Language Skills|言語技能の使い方 [ 言語 技能 の 使い方]|げんごぎのうのつかいかた|4: p.129|4: p.137 / 4A: p.157|
6|Language Skill Table|言語技能表 [ 言語 技能 表]|げんごぎのうひょう|4: p.129|4: p.137 / 4A: p.157|
0|Using Navigation|〈航法〉の使い方 [ 航法 の使い方]|こうほうのつかいかた|4: p.116|4: p.124 / 4A: p.157|
0|Using Survival|〈サバイバル〉の使い方 [ サバイバル の 使い方]|さばいばるのつかいかた|4: p.118|4: p.126 / 4A: p.157|
6|Survival Test Table|サバイバルテスト表 [ サバイバル テスト 表]|さばいばるてすとひょう|4: p.118|4: p.126 / 4A: p.158|
0|Using Insruction|〈指導〉の使い方 [ 指導 の 使い方]|しどうのつかいかた|4: p.123|4: p.130 / 4A: p.158|
0|Using Locksmith|〈錠前〉の使い方 [ 錠前 の 使い方]|じょうまえのつかいかた|4: p.125|4: p.133 / 4A: p.158|
0|Using Swimming|〈水泳〉の使い方 [ 水泳 の 使い方]|すいえいのつかいかた|4: p.118|4: p.126 / 4A: p.158|
6|Treading Water Modifications Table|立ち泳ぎ修正表 [ 立ち 泳ぎ 修正 表]|たちおよぎしゅうせいひょう|4: p.119|4: p.127 / 4A: p.159|
6|Swimming Rates|水泳移動距離表 [ 水泳 移動 距離 表]|すいえいいどうきょりひょう|4: p.118|4: p.127 / 4A: p.159|
0|Using Escape Artist|〈脱出〉の使い方 [ 脱出 の 使い方]|だっしゅつのつかいかた|4: p.115|4: p.123 / 4A: p.159|
